timestamp,artist,title,genres,popularity
2025-12-05 16:17:00,Mac Miller,Perfecto,"hip-hop, rap, underground hip-hop, hip hop, pittsburgh",83
2025-12-05 16:28:00,S N U G,convo,"lo-fi hip hop, lo-fi, lo-fi beats",54
2025-12-05 16:30:00,Tibeauthetraveler,Northern Lights,"lo-fi, lo-fi hip hop, lo-fi beats",57
2025-12-05 16:33:00,Nuver,The Place Where I Belong,"lo-fi hip hop, lo-fi, lo-fi beats",52
2025-12-05 16:36:00,Kudo,cool winds,"lo-fi hip hop, lo-fi",44
2025-12-05 16:38:00,cxlt.,Another Daydream,"lo-fi hip hop, lo-fi, lo-fi beats",58
2025-12-05 16:41:00,blurred figures,when you go,"lo-fi hip hop, lo-fi",47
2025-12-05 16:43:00,Tibeauthetraveler,Crystal clear,"lo-fi, lo-fi hip hop, lo-fi beats",57
2025-12-05 16:46:00,Kanisan,watercrystals,"lo-fi hip hop, lo-fi, lo-fi beats",55
2025-12-05 16:48:00,Guy Rickard,Sleeping City,"jazz beats, lo-fi",41
2025-12-05 16:50:00,cxlt.,Above the Quiet City,"lo-fi hip hop, lo-fi, lo-fi beats",58
2025-12-05 16:52:00,Blue Wednesday,Wildflower,"lo-fi hip hop, lo-fi, lo-fi beats",55
2025-12-05 16:55:00,bluntone,Skyvillage,"lo-fi hip hop, lo-fi, lo-fi beats",54
2025-12-05 16:57:00,Prithvi,Ascension,"lo-fi, lo-fi hip hop",47
2025-12-05 17:00:00,STEEZY PRIME,in the air,"lo-fi, lo-fi hip hop, lo-fi beats",56
2025-12-05 17:02:00,Yasumu,We Met,"lo-fi hip hop, lo-fi, lo-fi beats",52
2025-12-05 17:04:00,bCalm,Lotus,"lo-fi, lo-fi hip hop, lo-fi beats",57
2025-12-05 17:07:00,Tom Doolie,Trusted,"lo-fi hip hop, lo-fi, lo-fi beats",48
2025-12-05 17:09:00,Tonion,Holy Cloud,"lo-fi, lo-fi beats, lo-fi hip hop",46
2025-12-05 17:12:00,Dimension 32,Hymn To Persephone,"lo-fi, lo-fi hip hop, lo-fi beats",56
2025-12-05 17:15:00,Towerz,One Line,"lo-fi hip hop, lo-fi, lo-fi beats",52
2025-12-05 17:17:00,SHEATH,Close your eyes,"lo-fi, jazz beats, lo-fi beats",47
2025-12-05 17:20:00,Rich Brian,Jelly Air Island,indonesian hip hop,67
2025-12-05 17:22:00,Rich Brian,Senja,indonesian hip hop,67
2025-12-05 17:24:00,Rich Brian,Body High (feat. Toro y Moi),indonesian hip hop,67
2025-12-05 17:28:00,Rich Brian,Jumpy (feat. Ski Mask The Slump God),indonesian hip hop,67
2025-12-05 17:30:00,Rich Brian,Took A Breath,indonesian hip hop,67
2025-12-05 17:33:00,Rich Brian,Butterfly,indonesian hip hop,67
2025-12-05 17:36:00,Rich Brian,"Fat Cats, Starving Dogs (feat. Maxo Kream)",indonesian hip hop,67
2025-12-05 17:39:00,Rich Brian,Little Ray Of Light,indonesian hip hop,67
2025-12-05 17:42:00,Rich Brian,Ma,indonesian hip hop,67
2025-12-05 17:45:00,Rich Brian,Serpents!,indonesian hip hop,67
2025-12-05 17:47:00,Rich Brian,Bumpy Road (feat. redveil),indonesian hip hop,67
2025-12-05 17:53:00,Nicholas Cangiano,To You,"singer-songwriter, indie, canadian",31
2025-12-05 17:56:00,serebii,Goji,"new zealand, indie, funk_add_to_lidarr_batch_24, electronic",44
2025-12-05 17:59:00,mei anima,Can't Hide My Love,Unknown,33
2025-12-05 18:02:00,Rikas,Strangers,german indie,44
2025-12-05 18:05:00,Antonio Barret,2 AM,"electronic, alternative, california, indie pop",30
2025-12-05 18:09:00,Nicholas Cangiano,The Moves,"singer-songwriter, indie, canadian",31
2025-12-05 18:12:00,David Blazer,Wayward Child,"jazz, soul, usa, rnb",39
2025-12-05 18:15:00,Relyae,Back to You,"indie, chillout, chill, soul, chillhop",38
2025-12-05 18:18:00,Flo Naegeli,Late Night Call,"soul, guitar, the dreamboats of indie music, gentle indie sounds",48
2025-12-05 18:22:00,Jordann,Business Solutions - Audiotree Live Version,bedroom pop,47
2025-12-05 18:25:00,Nicholas Cangiano,Disco Salon,"singer-songwriter, indie, canadian",31
2025-12-05 18:28:00,Stefan Sands,Changes,retro soul,50
2025-12-05 18:33:00,Portugal. The Man,Feel It Still,"experimental, indie, indie rock, progressive, rock",71
2025-12-05 18:35:00,Freedust,My Animal Soul,Unknown,32
2025-12-05 18:38:00,Sault,Masterpiece,"soul, rnb, neo-soul, indie, pop",65
2025-12-05 18:44:00,Freedust,What We've Lost,Unknown,32
2025-12-05 18:47:00,Mark Ronson,Valerie (Feat. Amy Winehouse) - Version Revisited,"funk, british, pop, hip-hop, dj",76
2025-12-05 18:51:00,4mara,Afterlife,Unknown,18
2025-12-05 18:53:00,Freedust,Did You Hear The News,Unknown,32
2025-12-05 18:56:00,Peggy Lee,Fever,"vocal jazz, swing music, big band, jazz",62
2025-12-05 19:00:00,Danielle Ponder,The Only Way Out,retro soul,48
2025-12-05 19:03:00,Freedust,Do Your Thing,Unknown,32
2025-12-05 19:06:00,Janelle Monáe,Tightrope (feat. Big Boi) - Big Boi Vocal Edit,alternative r&b,67
2025-12-05 19:11:00,ESG,Dance,"post-punk, post-disco",39
2025-12-05 19:15:00,Freedust,When You Gonna Groove,Unknown,32
2025-12-05 19:18:00,Yonny,I Am,"america, american",39
2025-12-05 19:20:00,Wale,Belly,"hip-hop, rap, hip hop, dc, go-go",76
2025-12-05 19:24:00,JID,Sun (with Anycia),"rap, hip-hop, trap, hip hop, rnb",76
2025-12-06 17:41:00,Portugal. The Man,Feel It Still,"experimental, indie, indie rock, progressive, rock",71
2025-12-06 17:44:00,Freedust,Bloodlines,Unknown,32
2025-12-06 17:48:00,Teddy Swims,The Door,"soul, singer-songwriter, rnb, pop, neo-soul",85
2025-12-06 17:52:00,Sault,Wildfires,"soul, rnb, neo-soul, indie, pop",65
2025-12-06 17:55:00,Freedust,Electric,Unknown,32
2025-12-06 17:58:00,Thee Sacred Souls,My Heart Is Drowning,retro soul,71
2025-12-06 18:06:00,Charles Bradley,Where Do We Go From Here,"retro soul, soul, funk, soul blues",59
2025-12-06 18:09:00,Freedust,Just Do It,Unknown,32
2025-12-06 18:12:00,Tame Impala,The Less I Know the Better,"neo-psychedelic, indie",86
2025-12-06 18:15:00,Freedust,Did You Hear The News,Unknown,32
2025-12-06 18:01:00,Nneka,Believe System,neo soul,45
2025-12-06 18:19:00,Lady Wray,Through It All,retro soul,47
2025-12-06 18:22:00,Jungle,Busy Earnin',"electronic, psychedelic, techno, jungle, funk",71
2025-12-06 18:25:00,Muddy Waters,I Just Want To Make Love To You,"blues, classic blues, blues rock, jazz blues, soul blues, country blues",55
2025-12-06 18:29:00,Daniele Carmosino,Sprinkling Sugar - Unplugged,Unknown,9
2025-12-06 18:32:00,Black Star,Little Brother,"east coast hip hop, hip hop, jazz rap",50
2025-12-06 18:36:00,Cory Henry,Switch,"retro soul, jazz fusion",44
2025-12-06 18:43:00,Waldeck,Make My Day,"electro swing, nu jazz, trip hop, downtempo, swing music",51
2025-12-06 18:46:00,The Avalanches,Because I’m Me,"electronic, turntablism, australian, dance, electronica",54
2025-12-06 18:50:00,Thee Sacred Souls,Will I See You Again?,retro soul,71
2025-12-06 18:54:00,Freedust,I Think of You,Unknown,32
2025-12-06 18:57:00,Prismojeni Profesorji Bluesa,Walk this road alone,"slovenia, rock, live, blues, slovenian",8
2025-12-06 19:01:00,Freedust,My Animal Soul,Unknown,32
2025-12-06 19:04:00,Ann Peebles,I Can't Stand the Rain,"soul, soul blues, classic soul",48
2025-12-06 19:06:00,Mahmundi,Faz Parte Do Meu Show,"new mpb, brazilian pop, mpb",41
2025-12-06 19:09:00,Neil Frances,dancing,indie soul,63
2025-12-06 19:12:00,Freedust,Nobody's Gonna Stop Me,Unknown,32
2025-12-06 19:15:00,Gotts Street Park,Tell Me Why,"jazz, soul, indie pop, funk, funk_add_to_lidarr_batch_11",65
2025-12-06 18:39:00,Dojo Cuts,Easy To Come Home,retro soul,57
2025-12-06 19:19:00,Etta James,Stormy Weather,"soul, jazz blues, soul blues, blues, vocal jazz",70
2025-12-06 19:22:00,Freedust,What We've Lost,Unknown,32
2025-12-07 16:20:00,Djo,On and On,"psychedelic pop, indie pop, indie rock, indie, psychedelic",77
2025-12-07 16:24:00,Djo,End of Beginning,"psychedelic pop, indie pop, indie rock, indie, psychedelic",77
