timestamp,artist,title,genres,popularity
2025-12-12 17:03:00,Djo,Love Can't Break The Spell,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:08:00,Djo,Mr. Mountebank,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:13:00,Djo,Carry The Name,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:16:00,Djo,It's Over,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:19:00,Djo,Purgatory Silverstar,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:23:00,Djo,Who You Are,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:27:00,Djo,Grime Of The World,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:31:00,Djo,Try Me,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:33:00,Djo,They Don't Know What's Right,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 17:00:00,Djo,T. Rex Is Loud,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 18:53:00,Djo,Awake,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 18:58:00,Djo,Lonesome Is a State of Mind,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 19:02:00,Djo,Basic Being Basic,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 19:08:00,Djo,Potion,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 19:11:00,J. Cole,Port Antonio,rap,84
2025-12-12 19:16:00,Joey Fatts,Corporate Thuggin',"rap, hip-hop, los angeles, underground rap, gangsta",40
2025-12-12 19:19:00,Malz Monday,Karuna,"hip-hop, rap, hip hop, new york, funk_add_to_lidarr_batch_17",47
2025-12-12 19:05:00,Djo,Link,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-12 19:23:00,Chance the Rapper,No More Old Men (feat. Jamila Woods),"hip-hop, rap, hip hop, chicago, jazz rap",75
2025-12-12 19:28:00,Joey Bada$$,STILL (feat. Ab-Soul & Rapsody),"hip hop, rap, jazz rap",71
2025-12-12 19:31:00,Cordae,Nothings Promised,"rap, trap, hip-hop, jazz rap, hip hop",64
2025-12-12 19:35:00,Noname,Hundred Acres,alternative r&b,51
2025-12-12 19:38:00,Mavi,Potluck,"experimental hip hop, alternative hip hop",59
2025-12-12 19:41:00,Benny the Butcher,Why Would I (feat. G Herbo),boom bap,64
2025-12-12 19:43:00,Juicy J,Suicide Doors (feat. Cordae),crunk,75
2025-12-12 19:46:00,Ben Reilly,Super Buick,"hip-hop, electronica, hardcore, trance, techno",43
2025-12-12 19:50:00,Peezy,Let's Talk About It,"rap, hip-hop, michigan, detroit rap, hip hop",57
2025-12-12 19:53:00,Mac Miller,Cable Box,"hip-hop, rap, underground hip-hop, hip hop, pittsburgh",83
2025-12-12 19:58:00,millkzy,heavencanwait(itcan’t),Unknown,58
2025-12-12 20:01:00,Buddy,NUNYA,"hip-hop, rap, german, indie, los angeles",55
2025-12-12 20:04:00,KOTA The Friend,5 Percenters,"hip-hop, rap, jazz rap, jazz hop, brooklyn",54
2025-12-13 10:15:00,Swink,My Dear,"lo-fi, lo-fi hip hop, lo-fi beats",53
2025-12-13 10:18:00,bCalm,free,"lo-fi, lo-fi hip hop, lo-fi beats",57
2025-12-13 10:21:00,Mondo Loops,Essence of the Forest,"lo-fi hip hop, lo-fi, lo-fi beats",62
2025-12-13 10:24:00,bCalm,Inner Peace,"lo-fi, lo-fi hip hop, lo-fi beats",57
2025-12-13 10:26:00,Yasumu,Just Wait,"lo-fi hip hop, lo-fi, lo-fi beats",52
2025-12-13 10:29:00,Living Room,Serenity Within,"lo-fi hip hop, lo-fi, lo-fi beats",54
2025-12-13 10:32:00,Kinissue,Cascade,"lo-fi, lo-fi hip hop",44
2025-12-13 10:34:00,Xander.,Strange Emotions,"lo-fi, lo-fi hip hop, lo-fi beats, jazz beats",56
2025-12-13 10:37:00,Yestalgia,Glowing,"lo-fi, lo-fi hip hop, lo-fi beats",47
2025-12-13 10:40:00,Swink,When The Winters Come,"lo-fi, lo-fi hip hop, lo-fi beats",53
2025-12-13 10:42:00,Purrple Cat,Out There,"lo-fi, lo-fi hip hop, lo-fi beats",59
2025-12-13 10:44:00,Nadav Cohen,Saba,"lo-fi, lo-fi hip hop",52
2025-12-13 10:47:00,squeeda,Empty Bed,"lo-fi, lo-fi hip hop, lo-fi beats",45
2025-12-13 10:55:00,Softy,Snow in October,"lo-fi hip hop, lo-fi, lo-fi beats",64
2025-12-13 10:58:00,kyu,Im Fine,"lo-fi hip hop, lo-fi",46
2025-12-13 11:00:00,HOKØ,Sweetness of the Past,"lo-fi, jazz beats",53
2025-12-13 11:04:00,Sleepermane,In Between Cycles,"lo-fi hip hop, lo-fi, lo-fi beats",56
2025-12-13 11:06:00,nytø,Frozen Sky,lo-fi,46
2025-12-13 11:08:00,dryhope,Quetzal,"lo-fi hip hop, lo-fi, lo-fi beats",56
2025-12-13 11:10:00,kurt stewart,Cope,"lo-fi hip hop, lo-fi, lo-fi beats",42
2025-12-13 10:53:00,thatlofiguy,Timeless Memories,lo-fi,36
2025-12-13 11:12:00,Tibeauthetraveler,Dream Of A Butterfly,"lo-fi, lo-fi hip hop, lo-fi beats",58
2025-12-13 11:15:00,mell-ø,Without You,"lo-fi hip hop, lo-fi, lo-fi beats",53
2025-12-13 11:16:00,LUQĘT,Mystical Resonance,lo-fi,47
2025-12-13 11:19:00,Ivylake,As Time Goes By,"lo-fi hip hop, lo-fi",40
2025-12-13 11:21:00,bluntone,Childhood Flashback,"lo-fi hip hop, lo-fi, lo-fi beats",55
2025-12-13 11:23:00,Lomme,Aurora,"lo-fi hip hop, lo-fi",46
2025-12-13 11:25:00,Kanisan,Unusual Place,"lo-fi hip hop, lo-fi, lo-fi beats",56
2025-12-13 11:27:00,Dontcry,Mosaic,"lo-fi, lo-fi hip hop, lo-fi beats",58
2025-12-13 11:29:00,HEVI,pictures i can't look at,"lo-fi hip hop, lo-fi, lo-fi beats",54
2025-12-13 11:32:00,azayaka,from town to town,"lo-fi, lo-fi beats",50
2025-12-13 11:35:00,juniorodeo,Marine Layer,"lo-fi hip hop, lo-fi, lo-fi beats",48
2025-12-13 11:38:00,Towerz,Hearts,"lo-fi hip hop, lo-fi, lo-fi beats",53
2025-12-13 11:41:00,Casiio,Glowing Jellyfish,"lo-fi hip hop, lo-fi, lo-fi beats",62
2025-12-13 11:43:00,Kupla,Carousel,"lo-fi hip hop, lo-fi, lo-fi beats",55
2025-12-13 11:46:00,cxlt.,Rays Of Light,"lo-fi hip hop, lo-fi, lo-fi beats",59
2025-12-13 11:48:00,Yasumu,Midnight Thoughts,"lo-fi hip hop, lo-fi, lo-fi beats",52
2025-12-13 11:51:00,Nadav Cohen,Dusty Attic,"lo-fi, lo-fi hip hop",52
2025-12-13 12:01:00,hoogway,A Place I Love,"lo-fi hip hop, lo-fi, lo-fi beats",61
2025-12-13 12:04:00,Nadav Cohen,Floating with you,"lo-fi, lo-fi hip hop",52
2025-12-13 12:07:00,Nadav Cohen,Connected Spirits,"lo-fi, lo-fi hip hop",52
2025-12-13 12:09:00,Xander.,Saving,"lo-fi, lo-fi hip hop, lo-fi beats, jazz beats",56
2025-12-13 12:12:00,Lawrence Walther,Sand Cottage,"lo-fi, lo-fi hip hop, lo-fi beats",51
2025-12-13 12:15:00,Tenno,Home,"lo-fi, lo-fi hip hop, lo-fi beats",53
2025-12-13 12:18:00,Galimatias,Intro,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:19:00,Galimatias,Redeye,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:22:00,Galimatias,Boy Hachi,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:23:00,Galimatias,Let Go,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:27:00,Galimatias,Sly,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:30:00,Galimatias,Wonder,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:37:00,Galimatias,Sinner,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:41:00,Galimatias,Everywhere,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:43:00,Galimatias,Room 332,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:46:00,Galimatias,Everytime,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:49:00,Galimatias,Intro,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:50:00,Galimatias,Redeye,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:53:00,Galimatias,Boy Hachi,"chillstep, chillout, lounge, electronic, danish",54
2025-12-13 12:59:00,Amies,From Within,"lo-fi hip hop, lo-fi, lo-fi beats",56
2025-12-13 13:01:00,Nuver,shuttle,"lo-fi hip hop, lo-fi, lo-fi beats",53
2025-12-13 13:04:00,Swink,Fiesole,"lo-fi, lo-fi hip hop, lo-fi beats",53
2025-12-13 13:06:00,Dimension 32,Turtle Island,"lo-fi, lo-fi hip hop, lo-fi beats",57
2025-12-13 13:08:00,Tom Doolie,New Fields,"lo-fi hip hop, lo-fi, lo-fi beats",49
2025-12-13 13:10:00,Lucid Keys,Fantasia,lo-fi,55
2025-12-13 13:13:00,MyceliumBug,Sleep Well,"lo-fi, jazz beats",52
2025-12-13 13:15:00,Lilac,Perfume,"lo-fi hip hop, lo-fi, lo-fi beats",47
2025-12-14 11:16:00,Christian Kuria,Sunbleach,"soul, rnb, electronic, usa, experimental hip-hop",59
2025-12-14 11:20:00,keshi,Soft Spot,"lo-fi, rnb, live, alternative, usa",76
2025-12-14 11:24:00,John Cha,With You,"cha soonjong, wave to earth",23
2025-12-14 11:42:00,boy pablo,tkm,bedroom pop,56
2025-12-14 11:48:00,Denise Julia,butterflies,pinoy r&b,60
2025-12-14 11:34:00,juan karlos,Tanga Mo Juan,"opm, harana, pinoy indie, p-pop, kundiman",61
2025-12-14 11:38:00,Damdamgugu,Love,"indie, rnb, korean, k-rnb, k-indie",40
2025-12-14 11:52:00,JAY-Z,Excuse Me Miss,"hip hop, east coast hip hop, rap",85
2025-12-14 11:56:00,The Neighbourhood,Pretty Boy,"indie, indie rock, indie pop, rock, alternative",86
2025-12-14 12:00:00,Haki,서로 (Used to be),"alternative, experimental, no wave, punk, post-punk",20
2025-12-14 12:04:00,Denise Julia,butterflies (2 a.m. Version),pinoy r&b,60
2025-12-14 12:06:00,Nonso Amadi,Radio,"alté, afro r&b, afrobeats, afrobeat, afropop, afro soul",49
2025-12-14 11:30:00,James Arthur,Falling Like the Stars,soft pop,82
2025-12-14 12:10:00,Noah Alejandre,Di Man Tinadhana,"opm, harana, pinoy indie, kundiman",44
2025-12-14 12:14:00,Ley Soul,Intergalactic Janet,"neo-soul, soul, rnb, indie, chicago",53
2025-12-14 12:16:00,keshi,SAY,"lo-fi, rnb, live, alternative, usa",76
2025-12-14 12:19:00,ENHYPEN,Hundred Broken Hearts,k-pop,81
2025-12-14 12:23:00,Seventeen,SPELL,k-pop,79
2025-12-14 12:26:00,Ckay,come close (feat. Ayra Starr),"afrobeats, afrobeat, afro r&b, afropop",70
2025-12-14 12:30:00,Rini,Meet Me in Amsterdam,"rnb, soul, australia, female vocalist, filipino",57
2025-12-14 12:35:00,Ariana Grande,Let Me Love You,pop,95
2025-12-14 12:38:00,Ndotz,Embrace It,"rap, hip-hop, british, my top songs",61
2025-12-14 12:40:00,The Weeknd,Less Than Zero,"rnb, electronic, dubstep, canadian, prog-rnb",96
2025-12-14 12:44:00,HYBS,Tip Toe,"rnb, synthpop, thai, pop, thailand",64
2025-12-14 12:49:00,UMI,wherever u r (ft. V of BTS),"rnb, hip-hop, soul, rutracker, upcoming album 2022",59
2025-12-14 12:51:00,Arthur Nery,o ninanais,"opm, harana, p-pop, pinoy r&b, kundiman, pinoy indie",75
2025-12-14 12:55:00,H.E.R.,Focus,r&b,75
2025-12-14 13:02:00,Iron & Wine,"Flightless Bird, American Mouth - Wedding Version",indie folk,63
2025-12-14 13:07:00,BROCKHAMPTON,WASTE,"hip-hop, rap, hip hop, pop rap, experimental hip hop",63
2025-12-14 13:11:00,BROCKHAMPTON,SUGAR,"hip-hop, rap, hip hop, pop rap, experimental hip hop",63
2025-12-14 13:14:00,BROCKHAMPTON,SUMMER,"hip-hop, rap, hip hop, pop rap, experimental hip hop",63
2025-12-14 12:59:00,Hohyun,SUNSET BOULEVARD,"k-indie, korean",39
2025-12-14 13:18:00,Djo,Chateau (Feel Alright),"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-14 13:22:00,Djo,Roddy,"psychedelic pop, indie pop, indie rock, indie, psychedelic",79
2025-12-14 13:25:00,Wallows,Only Ecstasy,indie,69
2025-12-14 13:30:00,Wallows,Don’t You Think It’s Strange?,indie,69
2025-12-14 13:33:00,Wallows,I Wouldn’t Mind,indie,69
2025-12-14 13:35:00,Wallows,Bad Dream,indie,69
2025-12-14 13:39:00,Wallows,You (Show Me Where My Days Went),indie,69
2025-12-14 13:43:00,Electric Light Orchestra,Mr. Blue Sky,"art rock, soft rock",73
2025-12-14 11:12:00,Coldplay,feelslikeimfallinginlove,"rock, alternative, britpop, alternative rock, indie",90
2025-12-15 09:25:00,kiyo,Shineboi,"pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 09:29:00,kiyo,Hanggang Kailan,"pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 09:33:00,kiyo,"Pantalan, Pt. 2","pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 09:37:00,kiyo,Nandito Na,"pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 09:41:00,kiyo,Okay lang yan,"pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 09:45:00,kiyo,sakay,"pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 09:49:00,kiyo,Ikaw Lang,"pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 09:53:00,kiyo,Eba,"pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 09:56:00,kiyo,HEY,"pinoy hip hop, opm, pinoy r&b, harana, p-pop",62
2025-12-15 10:05:00,kiyo,G,"idm, glitch, ambient, rap, opm",76
